Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
Bock du Moulin;de St Sylvestre;France;13;Pils;basse;3,6;25 et 75 cl;St Sylvestre Cappel;Pils  légère (dénommée  Bock  en France). Couleur légèrement dorée, saturation moyenne, mousse blanche de tenue courte. Nez typique de bière de table, équilibré, agréable et fruité ( houblon ). Saveur légère, rafraîchissante et un peu fruitée. Amertume faible. Bonne petite bière à déguster à table.;Bière brassée en  Flandres . Houblonnage aromatique.;Bock du Moulin;;
Bofferding lager beer;Bofferding;Luxembourg;12;Pils;basse;4,8;33 cl;Bascharage;Pils  jaune pâle, mousse peu serrée de belle tenue, quasi absence de bulles. Arôme très léger de  houblon , nez de  malt  peu profond. Coule bien en bouche, amertume moyenne, houblonnage la rapprochant de certaines  pils  françaises. Bien faite, agréable , mais ne sort pas de l'ordinaire.;;Bofferding lager beer;;
Bofferding meeschterbock donkel;Bofferding;Luxembourg;12;Bock;basse;6,5;25 cl;Bascharage;Une  spéciale , probablement basse, d'une très jolie couleur rouge acajou. Limpide, mousse aérée de tenue assez faible. Arôme de  malt   caramel . Goût assez moelleux et caramélisé, bière fine et douce, très correcte quoiqu'un peu trop sucrée à notre goût;Bière forte finement moelleuse (dixit étiquette);Bofferding meeschterbock donkel;;
Bohemia;Cuauhtemoc;Mexique;11,5;Pils;basse;4,5;33 cl;Monterrey;Pils jaune pâle, limpide, mousse blanche aux bulles de taille moyenne, peu saturée (grosses bulles). Arôme léger, frais et fleuri de malt et houblon, parfum herbacé agréable. Saveur légère et peu corsée, goût assez neutre sans personnalité excessive. Fine esse rafraîchissante correcte sans plus.;;Bohemia;;
Bonne-espérance (abbaye de);Lefebvre;Belgique;15;Abbaye;haute;8;25 cl;Quenast;Couleur fauve-orange. Mousse abondante, serrée, de tenue correcte. Bien  saturée . Arôme puissant et fin, nez de liqueur fruitée et de malt caramel. Bière douce, moelleuse, fruitée. Belle attaque ronde et acre ( levure ), goût corsé peu  astringent, peu épicé, amertume moyenne. Douceur ronde aromatique;Bière de l' abbaye  de  Bonne espérance  (sur lie).;Bonne-espérance (abbaye de);;
Bons voeux de la brasserie Dupont;Dupont;Belgique;16;Spéciale;haute;9,5;75 cl;Tourpes;Dorée-ambrée, trouble, crème blanche abondante, serrée et tenace, très  saturée . Arôme frais et puissant de  houblon , acidulé, mi-doux et fruité. Saveur âcre, assez sèche, amertume fruitée. Bouche un peu acide et épicée (Gingembre ?). Bonne bière corsée. Arrière-goût et post-amertume prononcés.;Admirez son chapeau de crème et son dépôt de  levure . Bière;Bons voeux de la brasserie Dupont;;
Bornem dubbel;Van Steenberge;Belgique;15;Abbaye;haute;8;33 cl;Ertevelde;Acajou, limpide, bien  saturée  en assez grosses bulles, mousse beige claire stable et serrée. Arôme puissant, doux et pénétrant, distingué, aux tons alcoolisés et épicés. Saveur légèrement piquante, douce et profonde. Bonne bouche équilibrée et épicée, amertume moyenne. Agréable, fine et forte.; Abbaye  de  Bornem  (double fermentation);Bornem dubbel;;
Bornem triple;Van steenberge;Belgique;;Abbaye;haute;;33 cl;Ertevelde;; Abbaye  de  Bornem  (triple fermentation);Bornem triple;;
Bos Keun;De Dolle Brouwers;Belgique;16,5;Spéciale;haute;7;33 cl;Esen;Bière  spéciale , dorée-cuivrée, bien saturée, belle mousse stable formant un chapeau. Nez très aromatique, extraordinaire, aux tons boisés de miel et de citron. Saveur douce, boisée, évoquant le miel de houx. Acidité aigre-douce et amertume équilibrée plutôt faible. Corps long et fin. Une grande bière.;Bière fabriquée par 'les brasseurs fous';Bos Keun;;
Bourgogne des Flandres;Timmermans;Belgique;14,5;Spéciale;haute;5;25 cl;Itterbeek;Une brune style  Rodenbach  en moins fruité, très léger goût de  caramel , bière aigre-douce de bonne qualité. Agréable. Couleur ambrée, limpide.;Oud bruin  bier.;Bourgogne des Flandres;;
Boxer old lager;Boxer;Suisse;11,5;Pils;basse;5,3;25 cl;Romanel;Jaune matiné d'ambre (très léger), assez forte odeur de  malt , mousse moyenne. Bière assez peu amère,  malt  dominant, peu pétillante Bière très moyenne. (celle que j'ai goûté était elle fraîche ?);;Boxer old lager;;
Brassin Robespierre;La choulette;France;15;Garde;haute;7,5;75 cl;Hordain;C'est la bières des  sans culottes dans une version plus alcoolisée, moins douce et plus corsée. C'est une bière ambrée rousse, d'excellente qualité.;Bière brassée spécialement en 1989 pour la révolution française;Brassin Robespierre;;
Braunfelser;Schlossbrauerei;Allemagne;13,5;Pils;basse;4,7;50 cl;Braunfels;Pils dorée, limpide, à la mousse blanche moyennement serrée et stable. Au nez, dominante houblonnée et herbacée,  malt  très subtil. Saveur à l'amertume pleine, franche et marquée, plus forte qu'aromatique. Goût légèrement doux pour cette bière bien typée et rafraîchissante. Agréable.;Pils au goût de  houblon  dominant;Braunfelser;;
Brigand;Van Honsebrouck;Belgique;13;Spéciale;haute;9;33 cl;Ingelmunster;Ambrée au  goût évolutif . Un peu aigre au début, elle reprend vite un goût plus moelleux, fruité et doux mais fort en alcool. Belle crème de tenue satisfaisante. (existe depuis 1983);Bière ambrée, style  abbaye;Brigand;;
Brug-Ale;de Silly;Belgique;12;Pale Ale;haute;5;33 cl;Silly;Pale Ale  orangée, légèrement troublée par la  levure , bien saturée (grosses bulles), mousse peu serrée. Nez plutôt fin, aux tons subtils de  caramel  et de  malt . Bouche fine et aérienne, peu corsée, s'atténuant vite. Amertume faible. Bière de type Ale, fine et délicate, mais manquant de personnalité;Bière bien faite, mais un manque de corps et de relief certain.;Brug-Ale;;
Brugge Tripel;De gouden boom;Belgique;12;Spéciale;haute;9,5;33 cl;Bruges;Une triple très forte et de qualité moyenne Bière ambrée et  capiteuse , spéciale.;;Brugse Tripel;;
Brunehaut ambrée;de Brunehaut;Belgique;14;Spéciale;haute;6,5;33 cl;Brunehaut;Bière d'une couleur orangée-marron intense, limpide (sur  levure ) et bien saturée. Mousse peu serrée mais durable. Arôme de  malt  fumé, nez assez complexe, au fruité intense. Bouche équilibrée, légèrement acre, mais ronde et veloutée. Goût fruité peu amer, légèrement piquant (CO2). Correcte;Bière moyenne. Teneur en CO2 excessive (la bière mousse en bouche).;Brunehaut ambrée;;
Brunehaut blonde;de Brunehaut;Belgique;14,5;Spéciale;haute;6,5;33 cl;Brunehaut;Bière dorée, transparente (sur  levure ), finement saturée. Mousse abondante et stable. Nez typique de  levure  et de  houblon , arômes fumés et acres très nets. Saveur ronde, douce et acre. Corps équilibré, ample et bien formé. Bouche acre, au léger goût fumé aromatique. De la mâche et peu d'amertume.;Bière belge de fermentation haute.;Brunehaut blonde;;
Brunette;Van steenberge;Belgique;14,5;Spéciale;haute;9;25 cl;Ertevelde;Acajou, limpide (sur  levure ), bien saturée, mousse brune serrée et tenace Odeur fraîche, aromatique, profondeur maltée, légère douceur, fruitée de  caramel  et  levure . Goût équilibré et doux, assez peu amer, mais ayant de la mâche et du corps, subtilement piquant (alcool). Bonne bière brune forte.;Bière brune  spéciale  de caractère, bien maltée et  capiteuse;Brunette;;
Bud (Budweiser);Anheuser Busch;U.S.A;13;Pils;basse;5;33 cl;St Louis;Pils  jaune pâle, cristalline, bien saturée en bulles fines, mousse blanche très fine. Au nez ; arôme délicat de céréales ( malt  et riz) léger et parfumé. Saveur au subtil fruité de pomme, bouche légère, aérienne et assez complexe, sèche et veloutée. Bonne bière désaltérante mais assez peu corsée.;Pils  typiquement américaine, légère, agréable, très désaltérante.;Bud (Budweiser);;
Budweiser Budvar;Budweiser Budvar;Tchéque/Slovaque;14,5;Pils;basse;5;33 cl;Ceske Budejovice;Pils  dorée, cristalline, finement saturée. Mousse blanche serrée et assez stable. Odeur fine, délicate et douce. Touches aromatiques de  houblon . Saveur simple, douce, ronde, avec un fini fruité subtil. Bouche peu amère et assez sèche. Parfaite dans sa simplicité désaltérante.; Pils  tchèque.;Budweiser Budvar;;
Bugg's;;;;Pils;;;;;;;Bugg's;;
Bulldog Strong Ale;Courage;Angleterre;13;Pale Ale;haute;6,3;275 ml;Reading;Ale cuivrée, limpide, mousse claire peu tenace, moyennement  saturée . Arôme à dominante maltée, léger nez de  caramel , odeur ronde et douce. Bouche pleine, avec de la mâche et de la rondeur. Houblonnage équilibré à tendance amère. Post-amertume assez longue. Bière correcte et plutôt douce.;Connue en France sous le nom de;Bulldog Strong Ale;;
Burton Porter;Burton Bridge Brewery;Angleterre;14,5;Porter;haute;4,5;55 cl;Burton-on-trent;Bière noire-acajou, mousse brune peu serrée et assez stable. Arôme assez fin, aux légers tons de grillé, mais sans excès. Saveur nette, très sèche, franche et amère. Bouche très peu sucrée, saveur limpide, légèrement piquante. Goût de pain grillé et acreté de la  levure  en font un Classique.;;Burton Porter;;
Bush beer;Dubuisson;Belgique;14;Spéciale;haute;12;25 cl;Pipaix;Bière cuivrée, limpide, bien saturée. Mousse claire, moyennement serrée. Arôme doux, voire sucré, aux tons de  caramel  puissants. Saveur maltée et sucrée, bouche moelleuse, ample et forte, saveur épicée, rondeur et force alcoolisée. Caractère de  houblon net, sec et tenace. Goût acre de  levure .;Son nom est tiré du nom du brasseur (En anglais ; Buisson=Bush);Bush beer;;
Bush noël;;;;;;;;;;;Bush noël;;
Caffrey's;Thomas caffrey;Irlande;14;Pale Ale;Haute;4,8;440 ml;Antrim;;;;;
Caledonian export ale 80%;Caledonian Brewery;Ecosse;14,5;Pale Ale;haute;4,05;50 cl;Edimbourg;Bière rousse, cristalline, à la mousse blanche serrée assez abondante. Arôme bien malté, rond, profond, chaleureux, aux nuances de  caramel . Saveur ronde et ample, à dominante maltée. Bouche quand même assez sèche, amertume sèche et équilibrée, surtout en 2ème bouche. Nette, agréable et complexe.;Bière écossaise de type Pale Ale au fort goût de  malt;Caledonian export ale 80%;;
Callewaert extra stout;Callewaert;Belgique;9;Stout;haute;4,5;33 cl;Zwevelzeele;Mousse aérée et de tenue moyenne, couleur brune foncée. Bière légèrement amère mais beaucoup trop sucrée. Manque d'équilibre total, n'a de stout que le nom.;;Callewaert extra stout;;
Campbell's;;Ecosse;11;Scotch Ale;haute;7,6;25 cl;Ecosse;Bière ambrée, déployant une jolie mousse dans son verre spécial. Arôme caramélisé, bière forte et riche, mais d'une douceur un peu trop présente.; Ale =rousse, Lager=blonde,  stout =brune;Campbell's;;
Campus;Biertoren;Belgique;15;Spéciale;haute;7;33 cl;Kampenhout;Ambrée-cuivrée, limpide, assez peu  saturée . Mousse abondante, serrée et tenace. Léger nez de  caramel , arôme fruité puissant alliant caractère et richesse. Saveur douce, tons liquoreux, bonne bouche fruitée à l'amertume moyenne, arrière goût équilibré. Bonne bière forte, douce et fruitée.;Bière artisanale sur lie (refermentation en bouteille);Campus;;
Cantillon Druiven lambic;Cantillon;Belgique;17;Lambic;spontanée;5;37.5 cl;Bruxelles;Couleur abricot mur, trouble, assez peu  saturée , mousse abondante et fine mais peu durable. Nez fruité et acide, fin, aux nuances douceâtres et aux subtils tons liquoreux (raisins). Saveur acide et âpre, finement fruitée, sèche et équilibrée. Arrière goût sur prolongé. Grande  gueuze  très fine !;;Cantillon Druiven lambic;;
Cantillon Gueuze lambic;Cantillon;Belgique;17;Lambic;spontanée;5;37.5 cl;Bruxelles;Gueuze ambrée-orangée, trouble, mousse abondante, serrée, tenace. Arôme acide, fruité, boisé, puissant mais fin. Goût acide, âpre, saveur très sèche pour une  gueuze . Harmonie acidité/fruité. Bière brute et authentique Arrière goût acide prolongé, légèrement amer.  Gueuze  de très grande classe.; Cantillon  est une des dernières brasseries traditionnelles de  lambic .;Cantillon Gueuze lambic;;
Cantillon Kriek lambic;Cantillon;Belgique;17;Lambic;spontanée;4,5;37.5 cl;Bruxelles;D'une couleur rouge assez claire, ce  lambic  possède une mousse fine, fugace et est peu  saturée . Mélange parfaitement équilibré de douceur (relative) et d'acidité, il reste sur et d'une saveur brute comparé aux krieks courants. Excellent  kriek lambic , doux mais peu sucré, idéalement aromatisé. Un must; Cantillon  est une des dernières brasseries traditionnelles de  Gueuze   lambic;Cantillon Kriek lambic;;
Cantillon lambic;Cantillon;Belgique;18,5;Lambic;spontanée;5;37.5 cl  75  cl;Bruxelles;Bière abricot-dorée, troublée, moyennement  saturée  en bulle fines, mousse fine et serrée mais peu durable. Arôme exceptionnel acide, boisé, aux tons verts de pomme et de miel mêlés, structuré et complexe. Saveur évolutive, acidité douce. Paradoxe du goût brut et fin. Alliance de saveurs sublime !;Véritable  lambic  belge. Laisser reposer 10 à 12 minutes avant de boire.;Cantillon Druiven lambic;;
Cardinal Anker;Cardinal;Suisse;12,5;Spéciale;haute;;25 et 29 cl;Fribourg;Ambrée, mousse de tenue moyenne. Bière filtrée, arôme de  caramel  et de  houblon , mais au goût ; corps moyen, subtile présence du caramel et du houblon, mais manque de bouche, de personnalité et de richesse pour une 'haute'. Reste agréable sans plus.;Fermentation haute suisse;Cardinal Anker;;
Cardinal lager;Cardinal;Suisse;12,5;Pils;basse;4,9;29, 58 ou 100 cl;Fribourg;Couleur jaune pâle, mousse abondante, peu serrée et de tenue moyenne. Bière assez bien houblonnée ( pils ), correcte pour se rafraîchir, bien maltée mais ne va pas plus loin.;Helles lager beer;Cardinal lager;;
Cardinal Rheingold;Cardinal;Suisse;14,5;Pils;basse;5,3;25 et 29 cl;Fribourg;Blonde dorée, déployant une belle mousse blanche de tenue moyenne. Saturation sans excés, saveur agréable, corsée, bonne bouche alcoolisée. Bière très agréable, ayant du caractère malgré son assez faible degré d'alcool.;;Cardinal Rheingold;;
Cardinal spéciale;Cardinal;Suisse;12;Pils;basse;5,2;25 cl;Fribourg;Jaune et transparente, mousse aérée et légère de tenue moyenne/faible. Subtil arôme de  houblon , goût assez neutre, légèrement amer. Bière désaltérante, sans plus.;;Cardinal spéciale;;
Carlsberg;Carlsberg;Danemark;13;Pils;Basse;5,5;25 cl;Copenhague;;;Carlsberg Elephant;;
Carlsberg Elephant;Carlsberg;Danemark;13;Pils;basse;7,2;33 cl;Copenhague;Une pils dorée, cristalline, forte en alcool avec un goût bien malté et une amertume correcte sans être extraordinaire, prédominance du  malt. Assez bonne  pils , forte.;S'appelle aussi 'Carlsberg 68' sur certains marchés;Carlsberg Elephant;;
Carolus;Het Anker;Belgique;;Spéciale;Haute;7,5;33 cl;Mechelen;;;Gouden carolus;;
Caves;;Belgique;14;Spéciale;Haute;5,8;25 cl;;Trés bonne oud bruin;;;;
Caves Bruegel Kriek lambic.;Brabrux;Belgique;11,5;Lambic;spontanée;5,2;37.5 cl;Wolvertem;Kriek  lambic  rouge foncé, limpide, mousse serrée de tenue correcte, assez peu  saturée . Arôme puissant, doux et très fruité (cerises), à peine sur. Saveur surette, fruitée et douce. Goût de cerises marqué, sucré, sirupeux. Arrière goût aigrelet. Mal équilibrée, très fruitée mais trop sucrée.; Kriek lambic  de fermentation spontanée.;Caves Bruegel Kriek lambic.;;
Celebrator;Ayinger;Allemagne;12;Doppelbock;basse;7,2;33 cl;Aying;Bière presque noire, mousse brune abondante, bonne saturation. Arôme très marqué, nez de grillé et de caramel. Saveur amère, bouche assez moelleuse et riche, finale un peu plus sèche, sans longueur excessive. Mélange assez étonnant de douceur sucrée et d'amertume. Bière moyenne à notre goût.;;Celebrator;;
Ceres royal export;Ceres;Danemark;13;Pils;basse;;33 cl;Danemark;Blonde et cristalline.  Saturation  moyenne. Arôme agréable de  houblon , saveur assez sèche, amertume correcte, bière agréable.;;Ceres royal export;;
